,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
10,metricsystem3,talk.2,1,1,rater3,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,"I hope you can take a moment to consider a very simple fact that so far, most of our understanding of the universe has come from light.","I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-5.0,-0.0216117079981245
11,metricsystem4,talk.2,1,1,rater3,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,I want you to take a moment to consider the very simple fact that most of what we know about the universe so far has come from light.,"I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",-15.0,-2.1664277017579496
12,metricsystem5,talk.2,1,1,rater7,我希望大家能花点时间考虑 一个非常简单的事实 那就是，到目前为止， 我们对宇宙的大部分了解 都来自于光。,I hope you all will take a moment to consider the very simple fact that most of what we know about the universe so far has come from light.,"I want to ask you all to consider for a second the very simple fact that, by far, most of what we know about the universe comes to us from light.",0.0,0.4214206835297575
13,Borderline,talk.2,2,2,rater3,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,"We stand on the earth and look up at the night sky. With the naked eye, we can see the stars in the sky.",We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-1.0,0.8363146895058055
14,DIDI-NLP,talk.2,2,2,rater7,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,"When we stand on the earth and look up at the night sky, we can see the stars in the sky with our naked eyes.",We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.4214206835297575
15,Facebook-AI,talk.2,2,2,rater3,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky. We can see the stars with our naked eyes.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,1.050796288881788
16,IIE-MT,talk.2,2,2,rater3,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky. We can see the stars in the sky with the naked eye.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-6.0,-0.236093307374107
17,MiSS,talk.2,2,2,rater2,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky. We can see the stars in the sky with our naked eyes.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.7879074540772029
18,NiuTrans,talk.2,2,2,rater4,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,"When we stand on the earth and look up at the night sky, we can see the stars with the naked eye.",We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-5.0,-1.963002805386856
19,Online-W,talk.2,2,2,rater7,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on Earth and look up at the night sky and we can see the stars with our naked eyes.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.4214206835297575
20,SMU,talk.2,2,2,rater5,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,"When we stand on the earth and look up at the night sky, we can see the stars with the naked eye.",We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-1.0,-0.0830945570928896
21,metricsystem1,talk.2,2,2,rater5,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky. We can see the stars in the sky with the naked eye.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.3773274379795176
22,metricsystem2,talk.2,2,2,rater5,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky and we can see the stars in the sky with our naked eyes.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.3773274379795176
23,metricsystem3,talk.2,2,2,rater3,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We stand on the earth and look up at the night sky. We can see the stars in the sky with our naked eyes.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-6.0,-0.236093307374107
24,metricsystem4,talk.2,2,2,rater3,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,"When we stand on the earth and look up at the night sky, we can see the stars in the sky.",We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,-6.0,-0.236093307374107
25,metricsystem5,talk.2,2,2,rater7,我们站在地球上仰望夜空 用肉眼就能看到天上的繁星。,We can see the stars in the sky with our naked eyes as we stand on Earth and look up at the night sky.,We can stand on the Earth and look up at the night sky and see stars with our bare eyes.,0.0,0.4214206835297575
26,Borderline,talk.2,3,3,rater3,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,1.050796288881788
27,DIDI-NLP,talk.2,3,3,rater7,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,0.4214206835297575
28,Facebook-AI,talk.2,3,3,rater3,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,1.050796288881788
29,IIE-MT,talk.2,3,3,rater3,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,1.050796288881788
30,MiSS,talk.2,3,3,rater2,强烈的阳光是如此地刺眼，,"The intense sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,0.7879074540772029
31,NiuTrans,talk.2,3,3,rater4,强烈的阳光是如此地刺眼，,"The strong sunlight was so harsh,",The Sun burns our peripheral vision.,0.0,0.4463308333754328
32,Online-W,talk.2,3,3,rater7,强烈的阳光是如此地刺眼，,The intense sunlight is so blinding that,The Sun burns our peripheral vision.,0.0,0.4214206835297575
33,SMU,talk.2,3,3,rater5,强烈的阳光是如此地刺眼，,"The strong sunlight is so piercing,",The Sun burns our peripheral vision.,-5.0,-1.924782537382519
34,metricsystem1,talk.2,3,3,rater5,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,0.3773274379795176
35,metricsystem2,talk.2,3,3,rater5,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,0.3773274379795176
36,metricsystem3,talk.2,3,3,rater3,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,1.050796288881788
37,metricsystem4,talk.2,3,3,rater3,强烈的阳光是如此地刺眼，,"The strong sunlight is so dazzling,",The Sun burns our peripheral vision.,0.0,1.050796288881788
38,metricsystem5,talk.2,3,3,rater7,强烈的阳光是如此地刺眼，,The intense sunlight is so harsh;,The Sun burns our peripheral vision.,0.0,0.4214206835297575
39,Borderline,talk.2,4,4,rater3,我们能看到从月球反射回来的光，,We can see the light reflected back from the moon.,We see light reflected off the Moon.,-6.0,-0.236093307374107
40,DIDI-NLP,talk.2,4,4,rater7,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,0.0,0.4214206835297575
41,Facebook-AI,talk.2,4,4,rater3,我们能看到从月球反射回来的光，,"We can see the light reflected back from the moon,",We see light reflected off the Moon.,-5.0,-0.0216117079981245
42,IIE-MT,talk.2,4,4,rater3,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,-1.0,0.8363146895058055
43,MiSS,talk.2,4,4,rater2,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,0.0,0.7879074540772029
44,NiuTrans,talk.2,4,4,rater4,我们能看到从月球反射回来的光，,"We can see the light reflected back from the moon,",We see light reflected off the Moon.,0.0,0.4463308333754328
45,Online-W,talk.2,4,4,rater7,我们能看到从月球反射回来的光，,we can see the light reflected back from the moon.,We see light reflected off the Moon.,0.0,0.4214206835297575
46,SMU,talk.2,4,4,rater5,我们能看到从月球反射回来的光，,"We can see the light reflected back from the moon,",We see light reflected off the Moon.,0.0,0.3773274379795176
47,metricsystem1,talk.2,4,4,rater5,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,0.0,0.3773274379795176
48,metricsystem2,talk.2,4,4,rater5,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,0.0,0.3773274379795176
49,metricsystem3,talk.2,4,4,rater3,我们能看到从月球反射回来的光，,"We can see the light reflected from the moon,",We see light reflected off the Moon.,-5.0,-0.0216117079981245
50,metricsystem4,talk.2,4,4,rater3,我们能看到从月球反射回来的光，,We can see the light reflected from the moon.,We see light reflected off the Moon.,-1.0,0.8363146895058055
51,metricsystem5,talk.2,4,4,rater7,我们能看到从月球反射回来的光，,we can see the light reflected off the moon;,We see light reflected off the Moon.,0.0,0.4214206835297575
52,Borderline,talk.2,5,5,rater3,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his humble telescope at celestial bodies in the universe, the universe as we know it today has appeared before our eyes through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-10.0,-1.0940197048780371
53,DIDI-NLP,talk.2,5,5,rater7,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his simple astronomical telescope at the celestial bodies in the universe, the universe as we know it today is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-1.0,0.023485768077404
54,Facebook-AI,talk.2,5,5,rater3,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Ever since Galileo aimed his rudimentary telescope at the celestial bodies of the universe, the universe as we know it has been presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",0.0,1.050796288881788
55,IIE-MT,talk.2,5,5,rater3,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his humble astronomical telescope at the celestial bodies in the universe, the universe as we know it today is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-10.0,-1.0940197048780371
56,MiSS,talk.2,5,5,rater2,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his crude astronomical telescope at the celestial bodies in the universe, today, the universe as we know it is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-2.0,-0.3080288760265409
57,NiuTrans,talk.2,5,5,rater4,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Ever since Galileo aimed his humble telescope at the celestial bodies of the universe, the universe as we know it today has been presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",0.0,0.4463308333754328
58,Online-W,talk.2,5,5,rater7,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his humble telescope at the celestial bodies in the universe, the universe as we know it today has been presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",0.0,0.4214206835297575
59,SMU,talk.2,5,5,rater5,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his humble astronomical telescope at the celestial bodies in the universe, today, the universe we know is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-1.0,-0.0830945570928896
60,metricsystem1,talk.2,5,5,rater5,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Ever since Galileo pointed his humble telescope at the celestial bodies in the universe, the universe as we know it today is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",0.0,0.3773274379795176
61,metricsystem2,talk.2,5,5,rater5,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Since Galileo aimed his simple astronomical telescope at the celestial bodies in the universe, the universe as we know it today is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",0.0,0.3773274379795176
62,metricsystem3,talk.2,5,5,rater3,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Ever since Galileo aimed his humble astronomical telescope on celestial bodies in the universe, to this day, the universe as we know it appears to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-10.0,-1.0940197048780371
63,metricsystem4,talk.2,5,5,rater3,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"Ever since Galileo pointed his humble telescope at the celestial bodies in the universe, the universe as we know it today is presented to us through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-15.0,-2.1664277017579496
64,metricsystem5,talk.2,5,5,rater7,自从伽利略将他那简陋的天文望远镜 瞄准宇宙中的天体， 时至今日，我们所了解的宇宙， 通过光呈现在我们眼前。,"since Galileo aimed his humble telescope at objects in the universe, to this day the universe as we know it, is presented before our eyes through light.","And in the time since Galileo pointed that rudimentary telescope at the celestial bodies, the known universe has come to us through light, across vast eras in cosmic history.",-6.0,-1.9661888091843631
65,Borderline,talk.2,6,6,rater3,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern telescopes, we have been able to collect dazzling, silent images of the universe - a series of images dating back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-5.0,-0.0216117079981245
66,DIDI-NLP,talk.2,6,6,rater7,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe-this series of images can be traced back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-0.1,0.3816271919845221
67,Facebook-AI,talk.2,6,6,rater3,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling silent images of the universe - a series of images that go all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,1.050796288881788
68,IIE-MT,talk.2,6,6,rater3,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe-a series of images that can be traced back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-5.0,-0.0216117079981245
69,MiSS,talk.2,6,6,rater2,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe-a series of images that can be traced back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-0.1,0.7331106375720157
70,NiuTrans,talk.2,6,6,rater4,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern telescopes, we have been able to collect dazzling and silent images of the universe, a series of images that go all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,0.4463308333754328
71,Online-W,talk.2,6,6,rater7,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling, silent images of the universe - a series of images going all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,0.4214206835297575
72,SMU,talk.2,6,6,rater5,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe - a series of images dating back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,0.3773274379795176
73,metricsystem1,talk.2,6,6,rater5,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern telescopes, we've been able to collect dazzling, silent images of the universe -- a series of images going all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-1.1,-0.1291367566001303
74,metricsystem2,talk.2,6,6,rater5,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe – a series of images that can be traced back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,0.3773274379795176
75,metricsystem3,talk.2,6,6,rater3,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern astronomical telescopes, we have been able to collect dazzling and silent images of the universe – this series of images can be traced back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",-5.0,-0.0216117079981245
76,metricsystem4,talk.2,6,6,rater3,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern telescopes, we've been able to collect dazzling, silent images of the universe -- a series of images that go all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,1.050796288881788
77,metricsystem5,talk.2,6,6,rater7,在现代天文望远镜的帮助下， 我们已经能够搜集 炫目无声的宇宙影像 – 这一系列影像 可以一直追溯到大爆炸。,"With the help of modern telescopes, we have been able to collect dazzling and silent images of the universe – a series of images that go all the way back to the Big Bang.","And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.",0.0,0.4214206835297575
78,Borderline,talk.2,7,7,rater3,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,But the universe is not a silent drama because it is not really silent.,"And yet, the universe is not a silent movie because the universe isn't silent.",-5.0,-0.0216117079981245
79,DIDI-NLP,talk.2,7,7,rater7,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.4214206835297575
80,Facebook-AI,talk.2,7,7,rater3,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a silent opera, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",-5.0,-0.0216117079981245
81,IIE-MT,talk.2,7,7,rater3,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,1.050796288881788
82,MiSS,talk.2,7,7,rater2,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.7879074540772029
83,NiuTrans,talk.2,7,7,rater4,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.4463308333754328
84,Online-W,talk.2,7,7,rater2,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"But the universe is not a pantomime, because it is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.7879074540772029
85,SMU,talk.2,7,7,rater5,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a silent drama, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.3773274379795176
86,metricsystem1,talk.2,7,7,rater5,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.3773274379795176
87,metricsystem2,talk.2,7,7,rater5,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,0.3773274379795176
88,metricsystem3,talk.2,7,7,rater3,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,1.050796288881788
89,metricsystem4,talk.2,7,7,rater3,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"However, the universe is not a mime, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",0.0,1.050796288881788
90,metricsystem5,talk.2,7,7,rater7,不过，宇宙不是一部默剧， 因为宇宙并非真的寂静无声。,"The universe is not a silent drama though, because the universe is not really silent.","And yet, the universe is not a silent movie because the universe isn't silent.",-1.0,0.023485768077404
91,Borderline,talk.2,8,8,rater3,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I would like to tell you that the universe has its own musical score, and the universe itself is constantly playing, because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",-5.0,-0.0216117079981245
92,DIDI-NLP,talk.2,8,8,rater7,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I want to tell everyone that the universe has its own soundtrack, and the universe itself is constantly playing. Because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",0.0,0.4214206835297575
93,Facebook-AI,talk.2,8,8,rater3,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I want to tell you that the universe has its own soundtrack, and the universe itself is constantly playing, because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",-5.0,-0.0216117079981245
94,IIE-MT,talk.2,8,8,rater3,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I want to tell everyone that the universe has its own soundtrack, and the universe itself is constantly playing. Because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",-5.0,-0.0216117079981245
95,MiSS,talk.2,8,8,rater2,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I want to tell you that the universe has its own soundtrack, and the universe itself is constantly playing. Because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",-4.0,-1.4039652061302843
96,NiuTrans,talk.2,8,8,rater4,我想告诉大家 宇宙有着自己的配乐， 而宇宙自身正在不停地播放着。 因为太空可以想鼓一样振动。,"I want to tell you that the universe has its own soundtrack, and the universe itself is constantly playing, because space can vibrate like a drum.","I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.",0.0,0.4463308333754328
