,system,doc,doc_id,seg_id,src,mt,ref,mqm,score,zscore
15,metricsystem1,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
16,metricsystem2,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
17,metricsystem3,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
18,metricsystem4,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
19,metricsystem5,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
20,ref.A,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",94.44444444444444,-1.0,0.4235896126568133
21,Online-W,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, но я предпочитаю сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
22,Facebook-AI,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и я хотел бы сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",78.26086956521739,-5.0,-0.3096699034988485
23,Online-B,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
24,Online-G,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
25,Nemo,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
26,Online-A,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
27,Manifold,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
28,NiuTrans,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится фокусироваться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
29,Online-Y,tedtalk-1,2,-1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.","Есть много способов сделать это, и мне нравится сосредоточиться на том, чтобы помочь компьютерам говорить о том, что они видят и понимают.","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.",100.0,-0.0,0.6069044916957288
30,metricsystem1,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
31,metricsystem2,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
32,metricsystem3,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина, а есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",37.5,-10.0,-1.226244298693426
33,metricsystem4,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
34,metricsystem5,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
35,ref.A,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
36,Online-W,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Если взять такую сцену, современный алгоритм компьютерного зрения может сказать вам, что здесь есть женщина и собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
37,Facebook-AI,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
38,Online-B,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",100.0,-0.0,0.6069044916957288
39,Online-G,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
40,Nemo,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
41,Online-A,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
42,Manifold,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
43,NiuTrans,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая такую сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",68.75,-5.0,-0.3096699034988485
44,Online-Y,tedtalk-1,3,-1,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.","Учитывая подобную сцену, современный алгоритм компьютерного зрения может сказать вам, что есть женщина и собака.","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.",66.66666666666667,-5.0,-0.3096699034988485
45,metricsystem1,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
46,metricsystem2,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
47,metricsystem3,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
48,metricsystem4,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
49,metricsystem5,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
50,ref.A,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
51,Online-W,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
52,Facebook-AI,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
53,Online-B,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
54,Online-G,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
55,Nemo,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Он может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",100.0,-0.0,0.6069044916957288
56,Online-A,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",-42.85714285714286,-10.0,-1.226244298693426
57,Manifold,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
58,NiuTrans,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
59,Online-Y,tedtalk-1,4,-1,It can tell you that the woman is smiling.,"Это может сказать вам, что женщина улыбается.","Он может сказать, что женщина улыбается.",28.57142857142857,-5.0,-0.3096699034988485
60,metricsystem1,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Это может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",44.44444444444444,-5.0,-0.3096699034988485
61,metricsystem2,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Он может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
62,metricsystem3,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, вам даже удастся сказать, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",44.44444444444444,-5.0,-0.3096699034988485
63,metricsystem4,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Это может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",44.44444444444444,-5.0,-0.3096699034988485
64,metricsystem5,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, он даже сможет сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
65,ref.A,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Он даже способен сказать,  что собака необыкновенно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
66,Online-W,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, он даже сможет сказать, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
67,Facebook-AI,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, он даже сможет сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
68,Online-B,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Он может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
69,Online-G,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, он даже сможет сказать вам, что собака невероятно симпатичная.","Он даже способен сказать,  что собака необыкновенно милая.",50.0,-5.0,-0.3096699034988485
70,Nemo,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, он даже сможет сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
71,Online-A,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Он может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",44.44444444444444,-5.0,-0.3096699034988485
72,Manifold,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Он может даже сказать вам, что собака невероятно мила.","Он даже способен сказать,  что собака необыкновенно милая.",100.0,-0.0,0.6069044916957288
73,NiuTrans,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Это может даже сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",44.44444444444444,-5.0,-0.3096699034988485
74,Online-Y,tedtalk-1,5,-1,It might even be able to tell you that the dog is incredibly cute.,"Возможно, она даже сможет сказать вам, что собака невероятно милая.","Он даже способен сказать,  что собака необыкновенно милая.",50.0,-5.0,-0.3096699034988485
75,metricsystem1,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
76,metricsystem2,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
77,metricsystem3,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
78,metricsystem4,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
79,metricsystem5,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
80,ref.A,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
81,Online-W,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
82,Facebook-AI,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
83,Online-B,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
84,Online-G,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
85,Nemo,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
86,Online-A,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
87,Manifold,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
88,NiuTrans,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
89,Online-Y,tedtalk-1,6,-1,I work on this problem thinking about how humans understand and process the world.,"Я работаю над этой проблемой, размышляя о том, как люди понимают и обрабатывают мир.","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.",100.0,-0.0,0.6069044916957288
90,metricsystem1,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
91,metricsystem2,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые может вызвать у людей подобная сцена.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
92,metricsystem3,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые подобные сцены могут вызывать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
93,metricsystem4,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые такая сцена может вызвать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
94,metricsystem5,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
95,ref.A,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
96,Online-W,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые может вызвать у человека подобная сцена.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
97,Facebook-AI,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
98,Online-B,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые может вызвать у людей подобная сцена.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
99,Online-G,tedtalk-1,7,-1,"The thoughts, memories and stories that a scene like this might evoke for humans.","Мысли, воспоминания и истории, которые подобная сцена может вызвать у людей.","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.",100.0,-0.0,0.6069044916957288
