,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
14,HuaweiTSC,abcnews.420140,2,2,rater6,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD - Ein UN-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für Angriffe auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.6319180223880377
15,Nemo,abcnews.420140,2,2,rater7,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD - Ein UN-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für Angriffe auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-7,-0.4015398203332083
16,Online-W,abcnews.420140,2,2,rater9,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD -- Einem U.N.-Bericht zufolge verstecken sich mehr als 6.000 pakistanische Aufständische in Afghanistan, von denen die meisten der geächteten pakistanischen Taliban-Gruppe angehören, die für Angriffe auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.7803292763959668
17,UEdin,abcnews.420140,2,2,rater2,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD -- Ein UN-Bericht sagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-10,-1.5649584484182744
18,VolcTrans-AT,abcnews.420140,2,2,rater10,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","Islamabad -- Ein U.N.-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.6880714609108152
19,VolcTrans-GLAT,abcnews.420140,2,2,rater1,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD -- Einem U.N.-Bericht zufolge verstecken sich mehr als 6.000 pakistanische Aufständische in Afghanistan, von denen die meisten der geächteten pakistanischen Taliban-Gruppe angehören, die für Angriffe auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.31342974724568423
20,eTranslation,abcnews.420140,2,2,rater12,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD – Ein UN-Bericht sagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-1,0.32786813318852326
21,metricsystem1,abcnews.420140,2,2,rater13,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD – Ein UN-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.9384013881445971
22,metricsystem2,abcnews.420140,2,2,rater1,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD - Laut einem Bericht der Vereinigten Staaten verstecken sich mehr als 6.000 pakistanische Aufständische in Afghanistan, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.31342974724568423
23,metricsystem3,abcnews.420140,2,2,rater2,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD - Ein Bericht der Vereinigten Staaten von Amerika besagt, dass sich in Afghanistan mehr als 6.000 pakistanische Aufständische versteckt haben, von denen die meisten der verbotenen pakistanischen Talibangruppe angehören, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-10,-1.5649584484182744
24,metricsystem4,abcnews.420140,2,2,rater2,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD – Ein UN-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der verbotenen pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",-5,-0.4912638012877214
25,metricsystem5,abcnews.420140,2,2,rater6,"ISLAMABAD -- A UN report says more than 6000 Pakistani insurgents are hiding in Afghanistan, most belonging to the outlawed Pakistani Taliban group responsible for attacking Pakistani military and civilian targets.","ISLAMABAD -- Ein UN-Bericht besagt, dass sich mehr als 6.000 pakistanische Aufständische in Afghanistan verstecken, die meisten gehören der geächteten pakistanischen Taliban-Gruppe an, die für den Angriff auf pakistanische militärische und zivile Ziele verantwortlich ist.","ISLAMABAD -- A UN Bericht sagt, dass sich mehr als 6000 pakistanische Rebellen in Afghanistan verstecken, wobei die meisten dieser zur verbotenen pakistanischen Taliban gehören, welche für Anschlage auf das pakistanische Militär und Zivilisten verantwortlich ist.",0,0.6319180223880377
26,Facebook-AI,abcnews.420140,3,3,rater2,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem in dieser Woche veröffentlichten Bericht heißt es, dass sich die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, mit dem afghanischen Ableger der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.5824308458428316
27,HuaweiTSC,abcnews.420140,3,3,rater6,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem Bericht, der diese Woche veröffentlicht wurde, heißt es, dass die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, sich mit dem afghanischen Ableger der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.6319180223880377
28,Nemo,abcnews.420140,3,3,rater7,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem in dieser Woche veröffentlichten Bericht heißt es, die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, habe sich mit dem afghanischen Ableger der Gruppe Islamischer Staat verbunden.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-5,0.008792842781019128
29,Online-W,abcnews.420140,3,3,rater9,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","Der Bericht, der diese Woche veröffentlicht wurde, besagt, dass die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, sich mit dem in Afghanistan ansässigen Ableger der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.7803292763959668
30,UEdin,abcnews.420140,3,3,rater2,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","Der Bericht, der diese Woche veröffentlicht wurde, sagte, dass die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, sich mit der afghanischen Tochtergesellschaft der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.5824308458428316
31,VolcTrans-AT,abcnews.420140,3,3,rater10,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","Der Bericht, der diese Woche veröffentlicht wurde, besagt, dass die Gruppe, bekannt als die Tehreek-e-Taliban (TTP), sich mit der in Afghanistan ansässigen Tochtergesellschaft der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-5,-1.0170618970314382
32,VolcTrans-GLAT,abcnews.420140,3,3,rater1,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","Der in dieser Woche veröffentlichte Bericht besagt, dass die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, sich mit dem in Afghanistan ansässigen Ableger der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.31342974724568423
33,eTranslation,abcnews.420140,3,3,rater12,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","Der Bericht, der diese Woche veröffentlicht wurde, sagte, dass die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, sich mit dem in Afghanistan ansässigen Ableger der Gruppe Islamischer Staat verbunden hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-1,0.32786813318852326
34,metricsystem1,abcnews.420140,3,3,rater13,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem diese Woche veröffentlichten Bericht heißt es, dass sich die als Tehreek-e-Taliban (TTP) bekannte Gruppe mit dem in Afghanistan ansässigen Ableger der Islamischen Staatsgruppe verbündet hat.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-5,-0.27298668897020095
35,metricsystem2,abcnews.420140,3,3,rater1,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem diese Woche veröffentlichten Bericht heißt es, die als Tehreek-e-Taliban (TTP) bekannte Gruppe habe sich mit der in Afghanistan ansässigen Tochtergesellschaft der Islamic State Group zusammengeschlossen.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-5,-2.80586510468085
36,metricsystem3,abcnews.420140,3,3,rater2,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem in dieser Woche veröffentlichten Bericht heißt es, die als Tehreek-e-Taliban (TTP) bekannte Gruppe habe sich mit dem afghanischen Tochterunternehmen der Islamic State Group zusammengetan.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.5824308458428316
37,metricsystem4,abcnews.420140,3,3,rater2,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem diese Woche veröffentlichten Bericht heißt es, die Gruppe, bekannt als Tehreek-e-Taliban (TTP), habe sich mit dem in Afghanistan ansässigen Ableger der Islamischen Staatsgruppe verbunden.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",0,0.5824308458428316
38,metricsystem5,abcnews.420140,3,3,rater6,"The report released this week said the group, known as the Tehreek-e-Taliban (TTP), has linked up with the Afghan-based affiliate of the Islamic State group.","In dem Bericht, der diese Woche veröffentlicht wurde, heißt es, die Gruppe, die als Tehreek-e-Taliban (TTP) bekannt ist, hat sich mit der in Afghanistan ansässigen Tochtergesellschaft der Gruppe Islamischer Staat verbunden.","Der Bericht der diese Woche veröffentlicht wurde, besagte, dass die als Tehreek-e-Taliban bekannte Gruppe, sich mit dem in Afghanistan befindenden Verbündeten der Gruppe Islamischer Staat in Kontakt gesetzt hatte.",-2,-1.1507880800382353
39,Facebook-AI,abcnews.420140,4,4,rater2,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar dem IS-Ableger angeschlossen, der sein Hauptquartier im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.5824308458428316
40,HuaweiTSC,abcnews.420140,4,4,rater6,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar dem IS-Ableger angeschlossen, der seinen Sitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.6319180223880377
41,Nemo,abcnews.420140,4,4,rater7,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige der TTP-Mitglieder haben sich sogar dem IS-Ableger angeschlossen, der sein Hauptquartier im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",-6,-0.1963734887760946
42,Online-W,abcnews.420140,4,4,rater9,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar der IS-Filiale angeschlossen, die ihr Hauptquartier im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",-5,-1.066702978231214
43,UEdin,abcnews.420140,4,4,rater2,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP sind sogar dem IS-Mitgliedsverband beigetreten, der seinen Sitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.5824308458428316
44,VolcTrans-AT,abcnews.420140,4,4,rater10,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige der TTP-Mitglieder sind sogar dem IS-Ableger beigetreten, der seinen Hauptsitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.6880714609108152
45,VolcTrans-GLAT,abcnews.420140,4,4,rater1,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar dem IS angeschlossen, der sein Hauptquartier im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.31342974724568423
46,eTranslation,abcnews.420140,4,4,rater12,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder von TTP haben sich sogar der IS-Mitgliedsorganisation angeschlossen, die ihren Sitz in Ostafghanistan hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.6709260738824433
47,metricsystem1,abcnews.420140,4,4,rater13,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar dem IS angeschlossen, der seinen Sitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.9384013881445971
48,metricsystem2,abcnews.420140,4,4,rater1,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder von TTP haben sich sogar der IS-Tochter angeschlossen, die ihren Hauptsitz in Ostafghanistan hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",-5,-2.80586510468085
49,metricsystem3,abcnews.420140,4,4,rater2,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder von TTP haben sich sogar der IS-Tochter angeschlossen, die ihren Hauptsitz in Ostafghanistan hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.5824308458428316
50,metricsystem4,abcnews.420140,4,4,rater2,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige Mitglieder der TTP haben sich sogar dem IS-Ableger angeschlossen, der seinen Sitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",0,0.5824308458428316
51,metricsystem5,abcnews.420140,4,4,rater6,"Some of TTP's members have even joined the IS affiliate, which has its headquarters in eastern Afghanistan.","Einige der TTP-Mitglieder haben sich sogar der IS-Mitgliedsgesellschaft angeschlossen, die ihren Hauptsitz im Osten Afghanistans hat.","Einige der TTP Mitglieder haben sich sogar dem IS Verbündeten angeschlossen, welcher sein Hauptquartier in Ost-Afghanistan hat.",-1,-0.25943502882509867
52,Facebook-AI,abcnews.420140,5,5,rater2,The Afghan government did not respond Sunday to requests by The Associated Press for comment.,Die afghanische Regierung reagierte am Sonntag nicht auf Anfragen der Associated Press nach einem Kommentar.,Die afghanische Regierung antwortete am Sonntag nicht auf die Anfrage der „The Associated Press“ für ein Kommentar.,0,0.5824308458428316
53,HuaweiTSC,abcnews.420140,5,5,rater6,The Afghan government did not respond Sunday to requests by The Associated Press for comment.,Die afghanische Regierung reagierte am Sonntag nicht auf Anfragen von The Associated Press nach Kommentaren.,Die afghanische Regierung antwortete am Sonntag nicht auf die Anfrage der „The Associated Press“ für ein Kommentar.,0,0.6319180223880377
54,Nemo,abcnews.420140,5,5,rater7,The Afghan government did not respond Sunday to requests by The Associated Press for comment.,Die afghanische Regierung reagierte am Sonntag nicht auf Anfragen der Associated Press nach einer Stellungnahme.,Die afghanische Regierung antwortete am Sonntag nicht auf die Anfrage der „The Associated Press“ für ein Kommentar.,0,1.0346245005665877
55,Online-W,abcnews.420140,5,5,rater9,The Afghan government did not respond Sunday to requests by The Associated Press for comment.,Die afghanische Regierung reagierte am Sonntag nicht auf Anfragen von The Associated Press nach einem Kommentar.,Die afghanische Regierung antwortete am Sonntag nicht auf die Anfrage der „The Associated Press“ für ein Kommentar.,-1,0.4109228254705306
56,UEdin,abcnews.420140,5,5,rater2,The Afghan government did not respond Sunday to requests by The Associated Press for comment.,Die afghanische Regierung reagierte am Sonntag nicht auf Bitten der Associated Press um Stellungnahme.,Die afghanische Regierung antwortete am Sonntag nicht auf die Anfrage der „The Associated Press“ für ein Kommentar.,0,0.5824308458428316
